Index,ARREST_KEY,ARREST_DATE,PD_DESC,OFNS_DESC,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Location
1,299030225,01/07/2025,STRANGULATION 1ST,FELONY ASSAULT,F,M,28,25-44,M,BLACK,997439.0,233857.0,40.808558,-73.952357,POINT (-73.952357 40.808558)
2,299533742,01/16/2025,RAPE 2,RAPE,F,K,81,18-24,F,BLACK,1005319.0,190473.0,40.6894642952604,-73.9240290899499,POINT (-73.9240290899499 40.6894642952604)
3,299782079,01/21/2025,STRANGULATION 1ST,FELONY ASSAULT,F,M,10,25-44,M,BLACK,984685.0,209908.0,40.742835,-73.998429,POINT (-73.998429 40.742835)
4,299961366,01/24/2025,RAPE 3,RAPE,F,S,120,18-24,M,WHITE,962873.0,174172.0,40.6447209438691,-74.0770327198983,POINT (-74.0770327198983 40.6447209438691)
5,300834409,02/10/2025,"ARSON 2,3,4",ARSON,F,K,81,25-44,M,BLACK,1005312.0,190540.0,40.689649,-73.924053,POINT (-73.924053 40.689649)
6,301585673,02/24/2025,RAPE 1,RAPE,F,B,41,45-64,M,BLACK,1013037.0,236657.0,40.8162058439227,-73.8960011932583,POINT (-73.8960011932583 40.8162058439227)
7,302767435,03/13/2025,STRANGULATION 1ST,FELONY ASSAULT,F,B,48,25-44,M,BLACK,1014362.0,245498.0,40.84047,-73.891173,POINT (-73.891173 40.84047)
8,303976241,04/01/2025,RAPE 3,RAPE,F,Q,112,25-44,M,WHITE HISPANIC,1025401.0,202586.0,40.7226409964758,-73.8515418216779,POINT (-73.8515418216779 40.7226409964758)
9,304022842,04/01/2025,RAPE 3,RAPE,F,Q,101,25-44,M,BLACK,1053639.0,158980.0,40.6027762300781,-73.7501173648331,POINT (-73.7501173648331 40.6027762300781)
10,304248938,04/05/2025,RAPE 1,RAPE,F,B,40,45-64,M,UNKNOWN,1005028.0,234516.0,40.8103518634571,-73.924942325642,POINT (-73.924942325642 40.8103518634571)
